Serial,Book Name,Author Name,Ratings
60,"The Handmaid's Tale (The Handmaid's Tale, #1)",Margaret Atwood, 4.12
61,Slaughterhouse-Five,Kurt Vonnegut Jr., 4.08
62,"The Giver (The Giver, #1)",Lois Lowry, 4.13
63,Little Women,Louisa May Alcott, 4.11
64,"Dune (Dune, #1)",Frank Herbert, 4.24
65,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling, 4.62
66,1984,George Orwell, 4.19
67,Catch-22,Joseph Heller, 3.98
68,The Stand,Stephen King, 4.34
69,"The Pillars of the Earth (Kingsbridge, #1)",Ken Follett, 4.32
70,"The Adventures of Sherlock Holmes (Sherlock Holmes, #3)",Arthur Conan Doyle, 4.29
71,"Watership Down (Watership Down, #1)",Richard  Adams, 4.06
72,The Bell Jar,Sylvia Plath, 4.03
73,Great Expectations,Charles Dickens, 3.79
74,Matilda,Roald Dahl, 4.32
75,Anna Karenina,Leo Tolstoy, 4.07
76,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien, 4.37
77,One Flew Over the Cuckoo's Nest,Ken Kesey, 4.19
78,"Outlander (Outlander, #1)",Diana Gabaldon, 4.24
79,"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson, 4.15
80,Rebecca,Daphne du Maurier, 4.23
81,My Sister's Keeper,Jodi Picoult, 4.08
82,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling, 4.57
83,The Color Purple,Alice Walker, 4.24
84,A Tree Grows in Brooklyn,Betty  Smith, 4.28
85,The Brothers Karamazov,Fyodor Dostoevsky, 4.33
86,A Clockwork Orange,Anthony Burgess, 3.99
87,The Road,Cormac McCarthy, 3.97
88,"Angela's Ashes (Frank McCourt, #1)",Frank McCourt, 4.12
89,"Vampire Academy (Vampire Academy, #1)",Richelle Mead, 4.11
90,Siddhartha,Hermann Hesse, 4.04
91,"The Golden Compass (His Dark Materials, #1)",Philip Pullman, 4.00
92,The Poisonwood Bible,Barbara Kingsolver, 4.07
93,Don Quixote,Miguel de Cervantes Saavedra, 3.88
94,Atlas Shrugged,Ayn Rand, 3.69
95,The Old Man and the Sea,Ernest Hemingway, 3.79
96,"The Notebook (The Notebook, #1)",Nicholas Sparks, 4.12
97,"Winnie-the-Pooh (Winnie-the-Pooh, #1)",A.A. Milne, 4.32
98,The Complete Stories and Poems,Edgar Allan Poe, 4.37
99,"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice, 4.00
100,A Prayer for Owen Meany,John Irving, 4.23
101,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling, 4.56
102,"Moby-Dick or, the Whale",Herman Melville, 3.52
103,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling, 4.57
104,"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare, 4.31
105,The Secret Life of Bees,Sue Monk Kidd, 4.07
106,The Red Tent,Anita Diamant, 4.18
107,And Then There Were None,Agatha Christie, 4.27
108,The Stranger,Albert Camus, 4.00
109,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss, 4.51
110,The Shining,Stephen King, 4.24
111,The Master and Margarita,Mikhail Bulgakov, 4.29
112,Middlesex,Jeffrey Eugenides, 4.01
113,"Eragon (The Inheritance Cycle, #1)",Christopher Paolini, 3.92
114,Flowers for Algernon,Daniel Keyes, 4.16
115,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling, 4.43
116,The Adventures of Tom Sawyer,Mark Twain, 3.92
117,The Metamorphosis,Franz Kafka, 3.83
118,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",Roald Dahl, 4.14
119,Looking for Alaska,John Green, 3.99
120,The Curious Incident of the Dog in the Night-Time,Mark Haddon, 3.89
121,The Very Hungry Caterpillar,Eric Carle, 4.29
122,On the Road,Jack Kerouac, 3.62
123,"The Shadow of the Wind (The Cemetery of Forgotten Books, #1)",Carlos Ruiz Zafón, 4.27
124,Tuesdays with Morrie,Mitch Albom, 4.13
125,The Unbearable Lightness of Being,Milan Kundera, 4.10
126,The Name of the Rose,Umberto Eco, 4.13
127,Where the Red Fern Grows,Wilson Rawls, 4.08
128,"The Godfather (The Godfather, #1)",Mario Puzo, 4.36
129,The Count of Monte Cristo,Alexandre Dumas, 4.27
130,In Cold Blood,Truman Capote, 4.07
131,The Scarlet Letter,Nathaniel Hawthorne, 3.42
132,"The Last Olympian (Percy Jackson and the Olympians, #5)",Rick Riordan, 4.51
133,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis, 4.22
134,Fight Club,Chuck Palahniuk, 4.18
135,The Five People You Meet in Heaven,Mitch Albom, 3.95
136,It,Stephen King, 4.24
137,"The Hobbit, or There and Back Again",J.R.R. Tolkien, 4.28
138,Perfume: The Story of a Murderer,Patrick Süskind, 4.02
139,"Hush, Hush (Hush, Hush, #1)",Becca Fitzpatrick, 3.94
140,"Holes (Holes, #1)",Louis Sachar, 3.98
141,"The Cat in the Hat (The Cat in the Hat, #1)",Dr. Seuss, 4.16
142,"American Gods (American Gods, #1)",Neil Gaiman, 4.10
143,Lonesome Dove (Lonesome Dove #1),Larry McMurtry, 4.48
144,Watchmen,Alan Moore, 4.37
145,The Divine Comedy,Dante Alighieri, 4.04
146,The Addiction Manifesto,Jerry Weaver, 4.97
147,"The Little House Collection (Little House, #1-9)",Laura Ingalls Wilder, 4.34
148,All Quiet on the Western Front,Erich Maria Remarque, 4.01
149,Peter Pan,J.M. Barrie, 4.03
150,Love in the Time of Cholera,Gabriel García Márquez, 3.92
151,"Insurgent (Divergent, #2)",Veronica Roth, 4.00
152,The Compleat Works of Wllm Shkspr,Adam Long, 4.45
153,A Walk to Remember,Nicholas Sparks, 4.19
154,The Thorn Birds,Colleen McCullough, 4.23
155,"Shadow Kiss (Vampire Academy, #3)",Richelle Mead, 4.32
156,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett, 4.24
157,How the Grinch Stole Christmas!,Dr. Seuss, 4.35
158,The Importance of Being Earnest,Oscar Wilde, 4.17
159,Their Eyes Were Watching God,Zora Neale Hurston, 3.96
160,"The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)",Douglas Adams, 4.36
161,"Eat, Pray, Love: One Woman's Search for Everything Across Italy, India and Indonesia",Elizabeth Gilbert, 3.59
162,Atonement,Ian McEwan, 3.92
163,"The Wonderful Wizard of Oz (Oz, #1)",L. Frank Baum, 3.98
164,"The Three Musketeers (The D'Artagnan Romances, #1)",Alexandre Dumas, 4.08
165,"Clockwork Princess (The Infernal Devices, #3)",Cassandra Clare, 4.54
166,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick Riordan, 4.39
167,"Frostbite (Vampire Academy, #2)",Richelle Mead, 4.25
168,Goodnight Moon,Margaret Wise Brown, 4.28
169,The Lorax,Dr. Seuss, 4.32
170,"The Titan's Curse (Percy Jackson and the Olympians, #3)",Rick Riordan, 4.35
171,A Midsummer Night's Dream,William Shakespeare, 3.95
172,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan, 4.24
173,"Blood Promise (Vampire Academy, #4)",Richelle Mead, 4.29
174,Tess of the D'Urbervilles,Thomas Hardy, 3.81
175,Heart of Darkness,Joseph Conrad, 3.44
176,"The Good Earth (House of Earth, #1)",Pearl S. Buck, 3.99
177,The Prophet,Kahlil Gibran, 4.22
178,"The Maze Runner (The Maze Runner, #1)",James Dashner, 4.03
179,"The Hunger Games Trilogy Boxset (The Hunger Games, #1-3)",Suzanne Collins, 4.48
180,"The Mists of Avalon (Avalon, #1)",Marion Zimmer Bradley, 4.11
181,The Call of the Wild,Jack London, 3.88
182,Bridge to Terabithia,Katherine Paterson, 4.01
183,The Joy Luck Club,Amy Tan, 3.94
184,Alice in Wonderland,Jane Carruth, 4.02
185,Madame Bovary,Gustave Flaubert, 3.69
186,The Phantom Tollbooth,Norton Juster, 4.16
187,Jonathan Livingston Seagull,Richard Bach, 3.85
188,Oliver Twist,Charles Dickens, 3.87
189,"Oh, the Places You'll Go!",Dr. Seuss, 4.34
190,"The Girl Who Played with Fire (Millennium, #2)",Stieg Larsson, 4.24
191,The Neverending Story,Michael Ende, 4.15
192,Treasure Island,Robert Louis Stevenson, 3.84
193,Ulysses,James Joyce, 3.73
194,"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James, 3.66
195,"Murder on the Orient Express (Hercule Poirot, #10)",Agatha Christie, 4.19
196,"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin, 4.53
197,The Clan of the Cave Bear (Earth's Children #1),Jean M. Auel, 4.07
198,"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas, 4.18
199,The Canterbury Tales,Geoffrey Chaucer, 3.52
200,The World According to Garp,John Irving, 4.09
201,A Farewell to Arms,Ernest Hemingway, 3.81
202,David Copperfield,Charles Dickens, 4.01
203,"Catching Fire (The Hunger Games, #2)",Suzanne Collins, 4.30
204,"The Selection (The Selection, #1)",Kiera Cass, 4.10
205,The Boy in the Striped Pajamas,John Boyne, 4.15
206,The Night Circus,Erin Morgenstern, 4.03
207,Thirteen Reasons Why,Jay Asher, 3.88
208,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",Gregory Maguire, 3.54
209,"Jurassic Park (Jurassic Park, #1)",Michael Crichton, 4.06
210,A Little Princess,Frances Hodgson Burnett, 4.20
211,His Dark Materials (His Dark Materials #1-3),Philip Pullman, 4.26
212,Shōgun,James Clavell, 4.39
213,Schindler's List,Thomas Keneally, 4.31
214,Extremely Loud & Incredibly Close,Jonathan Safran Foer, 3.97
215,"The Lost Hero (The Heroes of Olympus, #1)",Rick Riordan, 4.31
216,Beloved,Toni Morrison, 3.90
217,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",Philippa Gregory, 4.07
218,"Last Sacrifice (Vampire Academy, #6)",Richelle Mead, 4.36
219,The Silmarillion,J.R.R. Tolkien, 3.95
220,"Fallen (Fallen, #1)",Lauren Kate, 3.72
221,The Secret Magdalene,Ki Longfellow, 4.10
222,The Trial,Franz Kafka, 3.95
223,The Velveteen Rabbit,Margery Williams Bianco, 4.26
224,"Clockwork Prince (The Infernal Devices, #2)",Cassandra Clare, 4.41
225,A Confederacy of Dunces,John Kennedy Toole, 3.88
226,The Iliad/The Odyssey,Homer, 4.05
227,The Sun Also Rises,Ernest Hemingway, 3.81
228,"Cinder (The Lunar Chronicles, #1)",Marissa Meyer, 4.13
229,"Spirit Bound (Vampire Academy, #5)",Richelle Mead, 4.32
230,The Diary of a Young Girl,Anne Frank, 4.17
231,The Crucible,Arthur  Miller, 3.60
232,Man's Search for Meaning,Viktor E. Frankl, 4.35
233,Cat's Cradle,Kurt Vonnegut Jr., 4.16
234,"The Silence of the Lambs  (Hannibal Lecter, #2)",Thomas  Harris, 4.22
235,"Six of Crows (Six of Crows, #1)",Leigh Bardugo, 4.47
236,The God of Small Things,Arundhati Roy, 3.95
237,The Wind in the Willows,Kenneth Grahame, 3.98
238,The Screwtape Letters,C.S. Lewis, 4.23
239,The Secret History,Donna Tartt, 4.12
240,The Hiding Place: The Triumphant True Story of Corrie Ten Boom,Corrie ten Boom, 4.41
241,A Light in the Attic,Shel Silverstein, 4.33
242,"City of Fallen Angels (The Mortal Instruments, #4)",Cassandra Clare, 4.09
243,Girl with a Pearl Earring,Tracy Chevalier, 3.91
244,"Uglies (Uglies, #1)",Scott Westerfeld, 3.85
245,The Phantom of the Opera,Gaston Leroux, 3.96
246,Ella Enchanted (Ella Enchanted #1),Gail Carson Levine, 3.98
247,The Green Mile,Stephen King, 4.45
248,She's Come Undone,Wally Lamb, 3.89
249,"Shiver (The Wolves of Mercy Falls, #1)",Maggie Stiefvater, 3.76
250,The Wind-Up Bird Chronicle,Haruki Murakami, 4.15
251,"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin, 4.40
252,Blindness,José Saramago, 4.15
253,Marley and Me: Life and Love With the World's Worst Dog,John Grogan, 4.12
254,"Howl’s Moving Castle (Howl’s Moving Castle, #1)",Diana Wynne Jones, 4.25
255,The Shack,William Paul Young, 3.79
256,The Sound and the Fury,William Faulkner, 3.86
257,Misery,Stephen King, 4.18
258,"Marked (House of Night, #1)",P.C. Cast, 3.80
259,The House of the Spirits,Isabel Allende, 4.25
260,The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer, 4.17
261,For Whom the Bell Tolls,Ernest Hemingway, 3.97
262,Fear and Loathing in Las Vegas,Hunter S. Thompson, 4.07
263,Gone Girl,Gillian Flynn, 4.10
264,The Complete Calvin and Hobbes,Bill Watterson, 4.77
265,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas, 4.59
266,Roots: The Saga of an American Family,Alex Haley, 4.42
267,Island of the Blue Dolphins,Scott O'Dell, 3.84
268,Stranger in a Strange Land,Robert A. Heinlein, 3.92
269,Speak,Laurie Halse Anderson, 4.03
270,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",Stieg Larsson, 4.22
271,Paper Towns,John Green, 3.75
272,Norwegian Wood,Haruki Murakami, 4.03
273,"Beautiful Disaster (Beautiful, #1)",Jamie McGuire, 4.06
274,Blood River: A Journey to Africa's Broken Heart,Tim Butcher, 3.87
275,The Idiot,Fyodor Dostoevsky, 4.18
276,"Delirium (Delirium, #1)",Lauren Oliver, 3.96
277,Othello,William Shakespeare, 3.89
278,White Oleander,Janet Fitch, 3.97
279,Midnight Sun [2008 Draft],Stephenie Meyer, 4.00
280,King Lear,William Shakespeare, 3.90
281,Flow Down Like Silver: Hypatia of Alexandria,Ki Longfellow, 3.80
282,"Inkheart (Inkworld, #1)",Cornelia Funke, 3.89
283,Into the Wild,Jon Krakauer, 4.00
284,"The Vampire Lestat (The Vampire Chronicles, #2)",Anne Rice, 4.07
285,"The Once and Future King (The Once and Future King, #1-4)",T.H. White, 4.04
286,"Neverwhere (London Below, #1)",Neil Gaiman, 4.16
287,I Know This Much Is True,Wally Lamb, 4.19
288,Uncle Tom's Cabin,Harriet Beecher Stowe, 3.88
289,The Complete Sherlock Holmes,Arthur Conan Doyle, 4.47
290,Kafka on the Shore,Haruki Murakami, 4.13
291,Candide,Voltaire, 3.77
292,Paradise Lost,John Milton, 3.81
293,"Lamb: The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore, 4.20
294,The Historian,Elizabeth Kostova, 3.79
295,The Time Machine,H.G. Wells, 3.90
296,Invisible Man,Ralph Ellison, 3.89
297,The Things They Carried,Tim O'Brien, 4.13
298,"All Creatures Great and Small (All Creatures Great and Small, #1)",James Herriot, 4.29
299,James and the Giant Peach,Roald Dahl, 4.01
300,The Complete Works,William Shakespeare, 4.46
301,Leaves of Grass,Walt Whitman, 4.11
302,The Thirteenth Tale,Diane Setterfield, 3.96
303,"Graceling (Graceling Realm, #1)",Kristin Cashore, 4.06
304,"Foundation (Foundation, #1)",Isaac Asimov, 4.17
305,Heidi,Johanna Spyri, 4.00
306,Different Seasons,Stephen King, 4.33
307,"City of Lost Souls (The Mortal Instruments, #5)",Cassandra Clare, 4.23
308,The Cider House Rules,John Irving, 4.14
309,"Mockingjay (The Hunger Games, #3)",Suzanne Collins, 4.05
310,Sophie's World,Jostein Gaarder, 3.94
311,Never Let Me Go,Kazuo Ishiguro, 3.83
312,"Are You There God? It's Me, Margaret",Judy Blume, 3.90
313,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss, 4.54
314,The Lord of the Rings,J.R.R. Tolkien, 4.50
315,Walden,Henry David Thoreau, 3.77
316,"The Son of Neptune (The Heroes of Olympus, #2)",Rick Riordan, 4.41
317,Fangirl,Rainbow Rowell, 4.00
318,"Ready Player One (Ready Player One, #1)",Ernest Cline, 4.24
319,"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson, 4.61
320,The Awakening,Kate Chopin, 3.66
321,"The Mark of Athena (The Heroes of Olympus, #3)",Rick Riordan, 4.44
322,Sophie's Choice,William Styron, 4.18
323,زندگی مه آلود پریا,سید مرتضی مصطفوی, 3.90
324,Mrs. Dalloway,Virginia Woolf, 3.79
325,The Prince of Tides,Pat Conroy, 4.24
326,Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg, 4.27
327,"Legend (Legend, #1)",Marie Lu, 4.16
328,"Dead Until Dark (Sookie Stackhouse, #1)",Charlaine Harris, 3.96
329,"Me Before You (Me Before You, #1)",Jojo Moyes, 4.25
330,"Wonder (Wonder, #1)",R.J. Palacio, 4.39
331,"Fifty Shades Darker (Fifty Shades, #2)",E.L. James, 3.83
332,Middlemarch,George Eliot, 3.99
333,The Monster at the End of this Book,Jon Stone, 4.44
334,"Things Fall Apart (The African Trilogy, #1)",Chinua Achebe, 3.71
335,"Bridget Jones's Diary (Bridget Jones, #1)",Helen Fielding, 3.79
336,The Song of Achilles,Madeline Miller, 4.41
337,Eleanor & Park,Rainbow Rowell, 3.99
338,"The Final Empire (Mistborn, #1)",Brandon Sanderson, 4.44
339,Do Androids Dream of Electric Sheep?,Philip K. Dick, 4.08
340,Stardust,Neil Gaiman, 4.09
341,"The Magician's Nephew (Chronicles of Narnia, #6)",C.S. Lewis, 4.04
342,"A Time to Kill (Jake Brigance, #1)",John Grisham, 4.09
343,Franny and Zooey,J.D. Salinger, 3.97
344,"The Power of One (The Power of One, #1)",Bryce Courtenay, 4.32
345,Number the Stars,Lois Lowry, 4.16
346,"The Hound of the Baskervilles (Sherlock Holmes, #5)",Arthur Conan Doyle, 4.13
347,Black Beauty,Anna Sewell, 3.97
348,"If I Stay (If I Stay, #1)",Gayle Forman, 3.93
349,"The Gunslinger (The Dark Tower, #1)",Stephen King, 3.94
350,A Short History of Nearly Everything,Bill Bryson, 4.19
351,V for Vendetta,Alan Moore, 4.25
352,The Art of Racing in the Rain,Garth Stein, 4.21
353,"Allegiant (Divergent, #3)",Veronica Roth, 3.62
354,The Graveyard Book,Neil Gaiman, 4.13
355,American Psycho,Bret Easton Ellis, 3.82
356,White Fang,Jack London, 3.99
357,The Witches,Roald Dahl, 4.15
358,A Portrait of the Artist as a Young Man,James Joyce, 3.62
359,Gulliver's Travels: Travels into Several Remote Nations of the World.,Jonathan Swift, 3.58
360,Love You Forever,Robert Munsch, 4.35
361,The Complete Novels,Jane Austen, 4.57
362,East of Eden,John Steinbeck, 4.38
363,Bel Canto,Ann Patchett, 3.92
364,"Fifty Shades Freed (Fifty Shades, #3)",E.L. James, 3.84
365,القرآن الكريم,Anonymous, 4.36
366,Beowulf,Unknown, 3.46
367,The Complete Maus,Art Spiegelman, 4.52
368,The Martian,Andy Weir, 4.40
369,Tuck Everlasting,Natalie Babbitt, 3.88
370,"Eldest (The Inheritance Cycle, #2)",Christopher Paolini, 3.99
371,Steppenwolf,Hermann Hesse, 4.13
372,Cold Mountain,Charles Frazier, 3.87
373,"Dark Lover (Black Dagger Brotherhood, #1)",J.R. Ward, 4.16
374,"Shatter Me (Shatter Me, #1)",Tahereh Mafi, 3.92
375,"Beautiful Creatures (Caster Chronicles, #1)",Kami Garcia, 3.76
376,"The Eye of the World (The Wheel of Time, #1)",Robert Jordan, 4.17
377,Go Ask Alice,Beatrice Sparks, 3.75
378,The Tell-Tale Heart and Other Writings,Edgar Allan Poe, 4.18
379,A Separate Peace,John Knowles, 3.59
380,As I Lay Dying,William Faulkner, 3.72
381,"A Child Called ""It"" (Dave Pelzer, #1)",Dave Pelzer, 4.11
382,"Brisingr (The Inheritance Cycle, #3)",Christopher Paolini, 4.05
383,Mansfield Park,Jane Austen, 3.86
384,Hamlet,William Shakespeare, 4.03
385,The Amazing Adventures of Kavalier & Clay,Michael Chabon, 4.17
386,"Obsidian (Lux, #1)",Jennifer L. Armentrout, 4.14
387,Tao Te Ching,Lao Tzu, 4.26
388,The Hunchback of Notre-Dame,Victor Hugo, 4.00
389,Cloud Atlas,David Mitchell, 4.00
390,'Salem's Lot,Stephen King, 4.04
391,The Martian Chronicles,Ray Bradbury, 4.15
392,Dear John,Nicholas Sparks, 4.03
393,"Stargirl (Stargirl, #1)",Jerry Spinelli, 3.76
394,The Last Song,Nicholas Sparks, 4.15
395,Inferno,Dante Alighieri, 4.00
396,"Robinson Crusoe (Robinson Crusoe, #1)",Daniel Defoe, 3.68
397,"Harry Potter Series Box Set (Harry Potter, #1-7)",J.K. Rowling, 4.72
398,Midnight's Children,Salman Rushdie, 3.98
399,The English Patient,Michael Ondaatje, 3.87
400,The Firm,Robin Waterfield, 4.04
401,"The Amber Spyglass (His Dark Materials, #3)",Philip Pullman, 4.08
402,"Crescendo (Hush, Hush, #2)",Becca Fitzpatrick, 4.00
403,Doctor Zhivago,Boris Pasternak, 4.00
404,The BFG,Roald Dahl, 4.21
405,"Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus, #1)",Robert M. Pirsig, 3.77
406,All the Light We Cannot See,Anthony Doerr, 4.32
407,Room,Emma Donoghue, 4.06
408,"My Ántonia (Great Plains Trilogy, #3)",Willa Cather, 3.81
409,"City of Heavenly Fire (The Mortal Instruments, #6)",Cassandra Clare, 4.39
410,"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas, 4.18
411,11/22/63,Stephen King, 4.30
412,"Crooked Kingdom (Six of Crows, #2)",Leigh Bardugo, 4.60
413,Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson, 3.83
414,Like Water for Chocolate,Laura Esquivel, 3.95
415,Breakfast of Champions,Kurt Vonnegut Jr., 4.07
416,Breakfast at Tiffany's and Three Stories,Truman Capote, 3.87
417,The Plague,Albert Camus, 4.01
418,"Dragonfly in Amber (Outlander, #2)",Diana Gabaldon, 4.32
419,The Origin of Species,Charles Darwin, 3.98
420,A Fine Balance,Rohinton Mistry, 4.34
421,Midnight in the Garden of Good and Evil,John Berendt, 3.91
422,"The Subtle Knife (His Dark Materials, #2)",Philip Pullman, 4.13
423,Death of a Salesman,Arthur  Miller, 3.55
424,"Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)",Laini Taylor, 3.99
425,A Streetcar Named Desire,Tennessee Williams, 3.98
426,"The House of Hades (The Heroes of Olympus, #4)",Rick Riordan, 4.52
427,"Evermore (The Immortals, #1)",Alyson Noel, 3.59
428,The Remains of the Day,Kazuo Ishiguro, 4.14
429,The Prince,Niccolò Machiavelli, 3.82
430,Infinite Jest,David Foster Wallace, 4.26
431,"Faust, First Part",Johann Wolfgang von Goethe, 3.90
432,"Hopeless (Hopeless, #1)",Colleen Hoover, 4.27
433,"Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1)",Ransom Riggs, 3.91
434,"Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante, #1)",Benjamin Alire Sáenz, 4.34
435,"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin, 4.14
436,"Matched (Matched, #1)",Ally Condie, 3.64
437,War and Peace,Leo Tolstoy, 4.13
438,The Grapes of Wrath,John Steinbeck, 3.98
439,Snow Flower and the Secret Fan,Lisa See, 4.07
440,"Anna and the French Kiss (Anna and the French Kiss, #1)",Stephanie Perkins, 3.99
441,"Unbroken: A World War II Story of Survival, Resilience and Redemption",Laura Hillenbrand, 4.35
442,"Flowers in the Attic (Dollanganger, #1)",V.C. Andrews, 3.83
443,"Blood Meridian, or the Evening Redness in the West",Cormac McCarthy, 4.16
444,"Heir of Fire (Throne of Glass, #3)",Sarah J. Maas, 4.44
445,Houdini Heart,Ki Longfellow, 3.72
446,The Scarlet Pimpernel,Emmuska Orczy, 4.05
447,"The Angel Experiment (Maximum Ride, #1)",James Patterson, 4.06
448,العصبي,أحمد جمال الدين رمضان, 4.55
449,انتحار فاشل,أحمد جمال الدين رمضان, 4.54
450,The Chosen (Reuven Malther #1),Chaim Potok, 4.04
451,"Pippi Longstocking (Pippi Långstrump, #1)",Astrid Lindgren, 4.13
452,Jonathan Strange & Mr Norrell,Susanna Clarke, 3.83
453,The Shipping News,Annie Proulx, 3.87
454,"Artemis Fowl (Artemis Fowl, #1)",Eoin Colfer, 3.85
